What is the maximum temperature that can be reached by the combustion of methane with 20% excess air? Both the methane and the air enter the burner at 25°C.,,,,,,,
The reaction is CH4 + 2O2 → CO2 + 2H2O(g) for which,,,,,,,
 Δ H 298,,,,,,,
Elements,Stoichiometry Coeff (mol), Δ H 298 (J/mol), Δ H 298 x Stoichiometry Coeff (J/mol),,,,
 CH4,-1,-74520,74520,,,,
O2,0,0,0,,,,
 CO2,1,-393509,-393509,,,,
H2O,2,-241818,-483636,,,,
Total,,,-802625,,,,
,,,,,,,
Constants,Values,Units,,,,,
R,8.314,kJ/kmol K,,,,,
,,,,,,,
Inputs,,,,,,,
Temp init,298.15,K,,,,,
Pressure init,1,bar,,,,,
 CH4,1,mol,,,,,
O2,2.4,mol,,,,,
N2,9.03,mol,,,,,
,,,,,,,
Products,,,,,,,
Pressure final,1,bar,,,,,
Temp final,2066.265322,K,,,,,
CO2,1,mol,,,,,
H2O,2,mol,,,,,
O2,0.4,mol,,,,,
N2,9.03,mol,,,,,
,,,,,,,
,,,,,,,
Calculations,,,,,,,
 Δ H P ° =  ⟨ C P ° ⟩ H (T − 298.15),,,,,,,
 ⟨ C P ° ⟩ H ≡  ∑ i   n i  ⟨ C Pi °  ⟩ H,,,,,,,
 ⟨ C P ° ⟩ H =  ∑ i   n i  ⟨ C Pi °  ⟩ H = R [ ∑ i   n i  A i +   ∑ i  n i  B i  _ 2   (T −  T 0 ) +    ∑ i  n i  D i  _ T  T 0   ],,,,,,,
,,,,,,,
A,,,,,,,
CO2,1,5.457,5.457,,,,
H2O,2,3.47,6.94,,,,
O2,0.4,3.639,1.4556,,,,
N2,9.03,3.28,29.6184,,,,
,,,43.471,,,,
,,,,,,,
B,0.001,,,,,,
CO2,1,1.045,0.001045,,,,
H2O,2,1.45,0.0029,,,,
O2,0.4,0.506,0.0002024,,,,
N2,9.03,0.593,0.00535479,,,,
,,,0.00950219,,,,
,,,,,,,
C ,0.000001,,,,,,
CO2,1,0,0,,,,
H2O,2,0,0,,,,
O2,0.4,0,0,,,,
N2,9.03,0,0,,,,
,,,0,,,,
,,,,,,,
D,100000,,,,,,
CO2,1,-1.157,-115700,,,,
H2O,2,0.121,24200,,,,
O2,0.4,-0.227,-9080,,,,
N2,9.03,0.04,36120,,,,
,,,-64460,,,,
,,,,,,,
τ,6.930287849,,,,,,
⟨ C P ° ⟩ H,453.9438067,Error Fxn,,,,,
Temp final,2066.265322,2.588E-09,,,,,
,,,,,,,
